AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
82,0.3549192609,956,'2 2BR','2000-2009',0
50,0.0475272647,1100,'4 4BR+','1980-1989',123000
53,0.6027025095,1100,'4 4BR+','1980-1989',28000
67,0.1039106145,949,'3 3BR','1980-1989',0
26,0.094019035,737,'2 2BR','1980-1989',96900
56,0.5564822846,657,'1 1BR','1980-1989',15000
50,0.1998227609,988,'3 3BR','1980-1989',70001
26,366,773,'2 2BR','1980-1989',20000
60,0.1165841647,1125,'3 3BR','1980-1989',107000
26,0.2750744993,552,'1 1BR','1980-1989',48000
59,0.2182655518,949,'3 3BR','1980-1989',60000
54,0.0909561668,1239,'4 4BR+','2000-2009',197000
25,0.1954275593,751,'2 2BR','2000-2009',61000
53,0.1594257732,1002,'3 3BR','2000-2009',30000
52,0.1395862906,1114,'4 4BR+','2000-2009',181000
67,0.3983636364,1239,'4 4BR+','1980-1989',40000
22,0.1715347596,706,'2 2BR','2000-2009',42000
55,0.1735000792,1277,'3 3BR','1980-1989',89675
57,0.1706810496,993,'3 3BR','1980-1989',73000
84,0.1521428571,975,'2 2BR','1980-1989',0
55,0.2264061947,794,'2 2BR','2000-2009',0
74,0.0763193505,752,'2 2BR','2000-2009',0
67,0.0467412076,794,'2 2BR','1990-1999',0
70,0.1220382301,1102,'3 3BR','1990-1999',0
59,0.0567415519,973,'3 3BR','2000-2009',150000
62,0.1697932619,718,'2 2BR','1990-1999',0
32,0.1774200528,1349,'4 4BR+','2000-2009',69353
-9,-9,868,'2 2BR','1980-1989',-9
54,0.1274565694,1528,'4 4BR+','2000-2009',200000
25,0.0956524348,1282,'3 3BR','After 2010',100000
41,0.1987012987,1282,'3 3BR','1980-1989',71000
50,0.0471794636,949,'3 3BR','1990-1999',82423
15,-1,792,'2 2BR','2000-2009',0
54,0.099221498,1032,'3 3BR','1980-1989',35000
24,1.2271906958,1158,'3 3BR','2000-2009',10000
28,0.3633378214,737,'1 1BR','1990-1999',30464
24,0.1539615673,874,'2 2BR','2000-2009',50000
40,0.6046344099,1217,'4 4BR+','2000-2009',25013
26,0.0447605752,1058,'3 3BR','2000-2009',135000
50,0.1850324832,1158,'3 3BR','2000-2009',132000
86,0.2966507177,576,'1 1BR','1980-1989',0
60,0.0927579974,1209,'4 4BR+','1990-1999',69000
39,0.296836983,1058,'3 3BR','2000-2009',41912
34,0.1599519844,1210,'2 2BR','1980-1989',40000
64,0.0485436279,1574,'3 3BR','1990-1999',158000
52,0.1770071689,1251,'3 3BR','1990-1999',86000
71,0.5677777778,1025,'3 3BR','1990-1999',0
34,0,1087,'1 1BR','1980-1989',36000
72,0.12048,1336,'4 4BR+','1980-1989',0
34,0.2954326172,1474,'2 2BR','2000-2009',220800
64,0.147781653,750,'2 2BR','1980-1989',74000
53,0.2099304063,1044,'3 3BR','2000-2009',47000
45,0.1036956584,1044,'3 3BR','2000-2009',105000
33,0.2505087209,1044,'3 3BR','2000-2009',50000
29,0.5171214346,729,'2 2BR','2000-2009',25900
59,0.060344516,1082,'4 4BR+','1980-1989',414943
33,0.3215767635,1044,'3 3BR','After 2010',24000
50,0.1430870157,1233,'4 4BR+','2000-2009',97000
52,0.2119447897,981,'4 4BR+','1980-1989',0
32,0.0701900982,649,'2 2BR','1980-1989',0
65,3.9300361882,1430,'3 3BR','2000-2009',2500
24,0.4274778606,1531,'4 4BR+','2000-2009',40000
42,4.54,1045,'3 3BR','2000-2009',0
52,0.6234175829,1045,'3 3BR','1990-1999',68000
82,0.0436624705,726,'2 2BR','2000-2009',65000
51,0.1282446232,1302,'3 3BR','2000-2009',104000
64,0.1765714286,702,'1 1BR','2000-2009',7000
23,0.17232,796,'2 2BR','1990-1999',48000
31,0.2993716785,1435,'4 4BR+','2000-2009',70000
49,0.2764563943,1277,'3 3BR','2000-2009',34838
60,0.0643483913,1077,'3 3BR','1980-1989',0
64,291,1002,'3 3BR','1990-1999',0
22,1.1763022324,751,'2 2BR','1980-1989',7000
56,0.037171548,987,'3 3BR','1980-1989',341943
-9,-9,749,'0 Studio','1990-1999',-9
43,0.1282532966,1130,'4 4BR+','2000-2009',159500
40,0.2493240918,1019,'3 3BR','2000-2009',183000
-9,-9,589,'1 1BR','2000-2009',-9
38,0.2517112205,1151,'4 4BR+','1980-1989',102000
28,4364.5714286,1421,'3 3BR','2000-2009',0
32,342,1050,'2 2BR','1980-1989',0
60,0.6429881777,1723,'4 4BR+','2000-2009',0
43,0.2054095761,1528,'4 4BR+','2000-2009',70000
66,0.4646153846,1151,'4 4BR+','1980-1989',0
43,0.8410934214,1282,'3 3BR','2000-2009',400
31,0.3429333333,1421,'3 3BR','2000-2009',29557
66,0.1301845018,1528,'4 4BR+','2000-2009',0
24,0.2968888889,769,'1 1BR','1980-1989',25000
36,0.176730486,1282,'3 3BR','After 2010',25000
38,0.2810271377,1050,'2 2BR','2000-2009',85000
58,0.4336996949,1957,'4 4BR+','2000-2009',143600
44,0.1225522784,1363,'4 4BR+','1980-1989',122000
41,0.5025666708,944,'1 1BR','1980-1989',16000
40,0.3470685317,1570,'3 3BR','2000-2009',37000
57,0.0986488891,1257,'4 4BR+','1980-1989',184000
39,1.3180826602,1056,'3 3BR','1990-1999',34000
54,0.2254281368,1693,'4 4BR+','2000-2009',2300
76,1.4982857143,1302,'3 3BR','2000-2009',0
25,0.4709049493,1302,'3 3BR','2000-2009',29000
37,0.1290322581,1302,'3 3BR','2000-2009',97000
50,0.1603347392,1129,'2 2BR','1980-1989',120000
60,0.1563539048,2077,'4 4BR+','2000-2009',352943
40,0.2671101446,892,'0 Studio','2000-2009',86000
39,0.2711696722,1210,'2 2BR','2000-2009',44500
-9,-9,776,'2 2BR','1980-1989',-9
39,0.1603907153,1070,'4 4BR+','2000-2009',231000
50,0.052180989,971,'3 3BR','1980-1989',118000
88,0.0689696678,1012,'2 2BR','2000-2009',0
36,0.2171945701,988,'3 3BR','2000-2009',65000
44,0.1327021684,1032,'3 3BR','2000-2009',127000
52,0.0581473566,1187,'4 4BR+','2000-2009',98000
35,0.2847457627,1282,'3 3BR','2000-2009',60000
35,0.1585791451,849,'3 3BR','2000-2009',90000
41,0.4261485205,931,'4 4BR+','1990-1999',115000
71,0.1498742666,1725,'4 4BR+','1990-1999',0
-9,-9,3100,'4 4BR+','2000-2009',-9
31,0.2103733653,1833,'2 2BR','2000-2009',95000
34,0.1332288663,1833,'2 2BR','2000-2009',120000
57,0.3285970149,1392,'1 1BR','1980-1989',50000
35,0.3021155079,859,'3 3BR','1980-1989',17000
65,0.1768869936,1231,'3 3BR','1980-1989',140000
36,0.4377777778,966,'2 2BR','1980-1989',0
56,0.4072898005,1436,'4 4BR+','1980-1989',81000
58,0.0880687695,2301,'4 4BR+','1980-1989',0
58,0.1051222978,1058,'3 3BR','2000-2009',145000
41,0.2108710101,1249,'4 4BR+','2000-2009',108400
28,0.1838636912,1058,'3 3BR','2000-2009',70000
62,0.0265115826,1101,'4 4BR+','1980-1989',182000
66,0.1319489111,689,'1 1BR','1980-1989',18789
42,0.1677133922,1130,'4 4BR+','2000-2009',111000
